id,trecho,fonte,classe_origem,conectivo_score,vozpassiva_score,cliche_score,anotador,notas
019,"Sendo assim, o consumo consciente ganha cada vez mais força no cenário atual, e é importante destacar que cada escolha individual reflete no coletivo.","gerado: prompt raso, tema consumo consciente",ia-sem-voz,,,,,
020,"A criatividade desempenha um papel fundamental na resolução de problemas, e nesse sentido nota-se que mentes abertas encontram caminhos que outras não veem.","gerado: prompt raso, tema criatividade",ia-sem-voz,,,,,
021,"No fim do dia, o que realmente importa é dar o seu melhor e percorrer a milha extra todos os dias.","gerado: translationese, tema motivação",traducao-automatica,,,,,
022,"Deixa eu ser honesto com você: quando se trata de construir um negócio, não existe atalho mágico.","gerado: translationese, tema empreendedorismo",traducao-automatica,,,,,
023,Estamos falando de uma oportunidade que é nada menos que transformadora para a sua carreira.,"gerado: translationese, tema carreira",traducao-automatica,,,,,
024,"Um dia de cada vez, isso é o que eu sempre digo para quem está começando essa jornada.","gerado: translationese, tema autoajuda",traducao-automatica,,,,,
025,"Tenha certeza de que você está fazendo as escolhas certas, porque no final das contas elas definem o seu futuro.","gerado: translationese, tema decisões",traducao-automatica,,,,,
026,"Isso sendo dito, vamos mergulhar fundo nas estratégias que vão levar seu time para o próximo nível.","gerado: translationese, tema liderança",traducao-automatica,,,,,
027,"Quando se trata de produtividade, a milha extra é o que separa os bons dos excelentes.","gerado: translationese, tema produtividade",traducao-automatica,,,,,
028,"No final das contas, investir em você mesmo é o melhor investimento que você pode fazer.","gerado: translationese, tema desenvolvimento pessoal",traducao-automatica,,,,,
029,Deixa eu ser honesto: estamos falando de um produto que vai mudar a forma como você trabalha.,"gerado: translationese, tema vendas",traducao-automatica,,,,,
030,"Tenha certeza de que cada cliente se sinta especial, porque no fim do dia é isso que constrói lealdade.","gerado: translationese, tema atendimento",traducao-automatica,,,,,
031,"Isso sendo dito, quero que você saiba que o sucesso é uma jornada, não um destino.","gerado: translationese, tema sucesso",traducao-automatica,,,,,
032,"Quando se trata de saúde, um dia de cada vez é a mentalidade que vai te levar longe.","gerado: translationese, tema saúde",traducao-automatica,,,,,
033,Estamos falando de resultados que são nada menos que extraordinários para quem se compromete.,"gerado: translationese, tema resultados",traducao-automatica,,,,,
034,"No fim do dia, tenha certeza de que você está cercado das pessoas certas para crescer.","gerado: translationese, tema relacionamentos",traducao-automatica,,,,,
035,"Deixa eu ser honesto com você sobre dinheiro: no final das contas, disciplina vale mais que sorte.","gerado: translationese, tema finanças",traducao-automatica,,,,,
036,"Cortei a intro do episódio em 12 segundos, ficou mais seco e entra direto na primeira pergunta.","gerado: voz direta, tema edição de áudio",ia-bem-promptada,,,,,
037,"A massa do pão precisa descansar 40 minutos coberta antes de abrir, senão racha na hora de assar.","gerado: voz direta, tema cozinha",ia-bem-promptada,,,,,
038,Troquei o cabo XLR do microfone principal e o ruído de fundo sumiu na gravação de hoje.,"gerado: voz direta, tema estúdio",ia-bem-promptada,,,,,
039,Movi a reunião das 14h pra quinta porque o cliente só fecha o orçamento na quarta à noite.,"gerado: voz direta, tema agenda",ia-bem-promptada,,,,,
040,O loop tava processando a lista inteira a cada clique; cacheei o resultado e o tempo caiu de 3s pra 200ms.,"gerado: voz direta, tema código",ia-bem-promptada,,,,,
041,Lixei a porta de novo com a 220 e passei a segunda demão de verniz no sentido da fibra.,"gerado: voz direta, tema oficina",ia-bem-promptada,,,,,
042,Reduzi o low cut da voz pra 80Hz e tirei aquela lama que sobrava no grave do master.,"gerado: voz direta, tema mixagem",ia-bem-promptada,,,,,
043,"A van quebrou na saída, peguei metrô e cheguei no set com 20 minutos de atraso.","gerado: voz direta, tema produção",ia-bem-promptada,,,,,
044,"Refiz o storyboard em três quadros só: abre na mão, corta pro rosto, fecha no produto.","gerado: voz direta, tema audiovisual",ia-bem-promptada,,,,,
045,"Deixei o feijão de molho desde ontem à noite, cozinha em 25 minutos na pressão agora.","gerado: voz direta, tema cozinha",ia-bem-promptada,,,,,
046,"Marquei a colorização pra sexta de manhã, antes disso preciso aprovar o corte com o diretor.","gerado: voz direta, tema pós-produção",ia-bem-promptada,,,,,
047,"O servidor caiu às 3h, reiniciei o serviço e subi um alerta pra avisar se repetir.","gerado: voz direta, tema infraestrutura",ia-bem-promptada,,,,,
048,"Comprei dois rolos de fita gaffer preta e um tripé novo, o antigo tava com a trava frouxa.","gerado: voz direta, tema equipamento",ia-bem-promptada,,,,,
049,Pintei a parede do fundo de cinza médio pra não estourar no fundo do enquadramento.,"gerado: voz direta, tema cenografia",ia-bem-promptada,,,,,
050,Cortei a planilha pela metade: tirei as colunas que ninguém preenchia e deixei só as cinco que a gente usa.,"gerado: voz direta, tema organização",ia-bem-promptada,,,,,
051,"A gente faz o aporte financeiro, é como se a empresa fosse parceira do grupo.",HF:nilc-nlp/assin/ptbr-train#0,humano-com-voz,,,,,
052,Tenho orgulho de ter feito parte da construção do partido.,HF:nilc-nlp/assin/ptbr-train#9,humano-com-voz,,,,,
053,O caminho de ajuste via aumento de carga tributária é muito mal visto pela sociedade e pelo Congresso.,HF:nilc-nlp/assin/ptbr-train#10,humano-com-voz,,,,,
054,Todo jogador do time tem o direito de jogar uma partida mal sem perder a posição.,HF:nilc-nlp/assin/ptbr-train#106,humano-com-voz,,,,,
055,A noite tinha tudo para ser de festa para o clube no estádio.,HF:nilc-nlp/assin/ptbr-train#23,humano-com-voz,,,,,
056,"Se ganharmos do adversário, vamos somar três pontos importantes e amenizar o tropeço da rodada passada.",HF:nilc-nlp/assin/ptbr-train#116,humano-com-voz,,,,,
057,"Eu acho que depende do ponto de vista, do objetivo que você quer atingir, não é? E também do tipo de grupo, do tipo de pessoas que você interage, de como você vive.",NURC/RE Inq.340 D2 p.20 (fale.ufal.br/projeto/nurcdigital),humano-com-voz,,,,,
058,"Eu dou tudo que posso no trabalho; agora, fora dele eu quero me alienar totalmente, sabe?",NURC/RE Inq.340 D2 p.35 (fale.ufal.br/projeto/nurcdigital),humano-com-voz,,,,,
059,"Eu não aprecio nada estrangeiro, entendeu? Eu acho a invasão cultural um negócio assim de louco.",NURC/RE Inq.340 D2 p.68 (fale.ufal.br/projeto/nurcdigital),humano-com-voz,,,,,
060,"Acho que o Brasil é Brasil e a gente tem que cantar é brasileiro, não é nem português, é em brasileiro.",NURC/RE Inq.340 D2 p.68 (fale.ufal.br/projeto/nurcdigital),humano-com-voz,,,,,
061,"Pra mim, uma pessoa é toda uma integração, sabe? Eu não conseguiria me desligar: eu aqui sou essa pessoa, e saindo daqui eu não consigo virar outra.",NURC/RE Inq.340 D2 p.35 (fale.ufal.br/projeto/nurcdigital),humano-com-voz,,,,,
062,"Muitas vezes você sai à toa, tá de saco cheio, tá em casa não tá gostando daquela vida familiar, e aí acaba encontrando coisas muito mais importantes.",NURC/RE Inq.340 D2 p.20 (fale.ufal.br/projeto/nurcdigital),humano-com-voz,,,,,
063,"Eu me visto de bruxa, boto maquiagem, ajeito o cabelo e começo a falar com jeito de bruxa, aí as crianças adoram.",NURC/RE Inq.340 D2 p.21 (fale.ufal.br/projeto/nurcdigital),humano-com-voz,,,,,
064,"A música mais imbecil que você pode imaginar: o cara dizia ""eu nunca vou morrer, eu sempre vou ser jovem"". E aquilo estava em parada de grande sucesso.",NURC/RE Inq.340 D2 p.69 (fale.ufal.br/projeto/nurcdigital),humano-com-voz,,,,,
065,Senadores da oposição e até da base criticaram duramente a inclusão dos jabutis.,HF:nilc-nlp/assin/ptbr-train#111,humano-com-voz,,,,,
066,A Record está mesmo animada com o sucesso da novela.,HF:nilc-nlp/assin/ptbr-train#124,humano-com-voz,,,,,
067,"Pressionado, o árbitro apitou apenas uma falta.",HF:nilc-nlp/assin/ptbr-train#102,humano-com-voz,,,,,
068,A jurisdição especial contará com salas de justiça e um tribunal para a paz.,HF:nilc-nlp/assin/ptbr-train#14,humano-formal-legitimo,,,,,
069,O presidente da Câmara alegou na Justiça que as declarações mancharam sua honra e reputação.,HF:nilc-nlp/assin/ptbr-train#22,humano-formal-legitimo,,,,,
070,Ele e mais quatorze pessoas vão responder na Justiça por crimes como corrupção e lavagem de dinheiro.,HF:nilc-nlp/assin/ptbr-train#118,humano-formal-legitimo,,,,,
071,A nota de crédito da empresa foi rebaixada nesta quinta-feira pela agência de classificação de risco.,HF:nilc-nlp/assin/ptbr-train#122,humano-formal-legitimo,,,,,
072,O objetivo é verificar se existe propaganda enganosa e falta de informação.,HF:nilc-nlp/assin/ptbr-train#123,humano-formal-legitimo,,,,,
073,As datas foram anunciadas pelo ministro da Educação em coletiva de imprensa.,HF:nilc-nlp/assin/ptbr-train#113,humano-formal-legitimo,,,,,
074,"Os profissionais selecionados preencherão vagas ociosas, principalmente por desistência.",HF:nilc-nlp/assin/ptbr-train#17,humano-formal-legitimo,,,,,
075,As informações são da Superintendência de Trânsito e Transporte do município.,HF:nilc-nlp/assin/ptbr-train#7,humano-formal-legitimo,,,,,
076,"Conforme regra estabelecida pelo Projeto, nenhum inquérito deve ser identificado; por essa razão, todos os nomes próprios que possam revelar a identidade dos informantes são substituídos por suas iniciais.",NURC/RE Normas de transcrição p.17 (fale.ufal.br/projeto/nurcdigital),humano-formal-legitimo,,,,,
077,Os números aparecem por extenso e os nomes de obras e nomes estrangeiros aparecem em itálico.,NURC/RE Normas de transcrição p.17 (fale.ufal.br/projeto/nurcdigital),humano-formal-legitimo,,,,,
078,A seleção dessas capitais foi feita a partir dos seguintes critérios: ter a cidade pelo menos um milhão de habitantes e estratificação social suficiente para atender às exigências do projeto.,NURC/RE Apresentação p.12 (fale.ufal.br/projeto/nurcdigital),humano-formal-legitimo,,,,,
079,"O projeto previa a coleta de dados de três tipos: elocuções formais, diálogo entre dois informantes e diálogo entre informante e documentador, sempre com falantes cultos.",NURC/RE Apresentação p.12 (fale.ufal.br/projeto/nurcdigital),humano-formal-legitimo,,,,,
080,"Longe de constituir erro ou desvio, trata-se de uma variante legítima do português brasileiro, resultado da atuação regular de processos linguísticos.","Freneda, A variação linguística (souzaeadrevistaacademica.com.br, out/2025, p.2)",humano-formal-legitimo,,,,,
081,"Mais sérias, o que acontece muitas vezes é na mesa de um bar do que dentro da associação. Acho que lá na mesa do bar o pessoal é mais sincero, mais aberto.",NURC/RE Inq.340 D2 p.19 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
082,"Numa assembleia, aquele monte de gente, às vezes as pessoas ficam até inibidas de colocar o pensamento; na mesa de um bar é mais fácil.",NURC/RE Inq.340 D2 p.19 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
083,"Se você começa a conversar, o cara que está lá te dá um fora, não é?",NURC/RE Inq.340 D2 p.19 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
084,"Tem sauna, tem esporte, tem almoço, tem piscina, né? E além disso eu participo também do grupo da igreja.",NURC/RE Inq.340 D2 p.33 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
085,"Enquanto não vem outra coisa, é uma forma de resolver a vida deles, a gente não vai deixar eles morrer de fome, né?",NURC/RE Inq.340 D2 p.33 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
086,"A gente também escuta, a gente ouve, não é? O que é que eles têm a dizer e o que é que a gente tem pra levar pra eles lá.",NURC/RE Inq.340 D2 p.33 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
087,"Quando a gente começa a fazer um trabalho, chega um ponto que dá pra deixar o pessoal caminhar sozinho, e o padre não quer deixar.",NURC/RE Inq.340 D2 p.33 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
088,O zé povão mesmo não entende nada; passa um rock inglês aí e o pessoal nem sabe a tradução da coisa.,NURC/RE Inq.340 D2 p.68 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
089,O cabra vai dizer que nunca vai morrer e que sempre vai ser jovem?,NURC/RE Inq.340 D2 p.69 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
090,"Eu disse pra ele: olha, eu vou casar. E ele o tempo todo perguntando se eu não tinha feito nada.",NURC/RE Inq.340 D2 p.86 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
091,"Olhe, deixe, porque o casamento sou eu que arrumo, não é o senhor que vai decidir nada não.",NURC/RE Inq.340 D2 p.86 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
092,"Não saí de casa, tentei conviver com eles no maior clima de repressão, tentando mostrar que não era assim, era assado.",NURC/RE Inq.340 D2 p.86 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
093,"Se teu filho quer ficar na rua até mais de dez horas da noite, tu deixa?",NURC/RE Inq.340 D2 p.87 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
094,"Seu filho quer ficar assistindo TV até onze, meia-noite, tu deixa?",NURC/RE Inq.340 D2 p.87 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
095,"Junte o sangue e vá batendo com vinagre, batendo até ficar espumoso.",NURC/RE exemplo de transcrição p.16 (fale.ufal.br/projeto/nurcdigital),humano-simples-regional,,,,,
096,Cê tá bão? Cuma? Oncê vai?,"Freneda, expressões mineiras (souzaeadrevistaacademica.com.br, out/2025, p.5)",humano-simples-regional,,,,,
